"Variable","Variable Number","Topic","Topic Number","Subtopic","Subtopic Number","Survey Years","Availability","Description","Table Name","Type","Edit Flag Variable","Imputation Strategy","Response Codes","Question Text","Instrument Variable Name(s)","Disclosure","Conditions in Universe","User Notes"
"CONTROL","1","Admin","1","Interview Status","1","2023 National, 2021 National, 2019 National, 2017 National, 2015 National","PUF","Control number","ALL","Character","NA","Coming soon","11000001 : 11199999: 11000001 to 11199999","NA","NA","None","INTSTATUS in ('1' '2' '3')","CONTROL is sequentially assigned each survey year. Beginning with 2015, the first two digits are 11 for National sample records, and 21 for Metropolitan sample records. The last five digits are sequentially numbered beginning with 00001. CONTROL can be used to link records across datasets and between survey years.",
"INTLANG","2","Admin","1","Interview Status","1","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Interview language","HOUSEHOLD","Character","NA","Coming soon","01: English||02: Spanish||10: Other||M or -9: Not reported","In what language was the interview conducted?","LANG","None","INTSTATUS in ('1' '2' '3')","This question is not asked of the respondent. The Field Representative provided the language information as the interview was being completed.",
"INTMODE","3","Admin","1","Interview Status","1","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Interview mode","HOUSEHOLD","Character","NA","Coming soon","1: Telephone interview||2: Personal visit||M or -9: Not reported","NA","NA","None","INTSTATUS in ('1' '2' '3')","Interview mode is determined using information provided by the Field Representative.",
"INTMONTH","4","Admin","1","Interview Status","1","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro","PUF","Interview month","HOUSEHOLD","Character","NA","Coming soon","01: January||02: February||03: March||04: April||05: May||06: June||07: July||08: August||09: September||10: October||11: November||12: December","NA","NA","None","INTSTATUS in ('1' '2' '3')","Interview month is determined using the instrument (laptop) date stamp for the interview. If the respondent was interviewed in more than one month (for example, a follow-up visit was needed to complete the interview), INTMONTH reflects the last contact.",
"INTMONTH","4","Admin","1","Interview Status","1","2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Interview month","HOUSEHOLD","Character","NA","Coming soon","1: January||2: February||3: March||4: April||5: May||6: June||7: July||8: August||9: September||10: October||11: November||12: December","NA","NA","None","INTSTATUS in ('1' '2' '3')","Interview month is determined using the instrument (laptop) date stamp for the interview. If the respondent was interviewed in more than one month (for example, a follow-up visit was needed to complete the interview), INTMONTH reflects the last contact.",
"INTSTATUS","5","Admin","1","Interview Status","1","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Interview status","HOUSEHOLD","Character","NA","Coming soon","1: Occupied interview||2: Usual Residence Elsewhere (URE) interview||3: Vacant interview","NA","NA","None","INTSTATUS in ('1' '2' '3')","Interview status is determined using information provided by the Field Representative.",
"JXXXXX","1","Admin","1","Edit Variables","2","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Edit flag for XXXXX (where XXXXX represents the name of the variable)","ALL","Character","NA","Coming soon","0: No change||1: Changed by edit||2: Changed by imputation||3: Changed by both edit and imputation","NA","NA","None","INTSTATUS in ('1' '2' '3')","JXXXXX is found in the same relational table as XXXXX and appears in the same survey years as XXXXX.",
"DIVISION","4","Admin","1","Geography","3","2023 National, 2021 National, 2019 National, 2017 National, 2015 National","PUF","Census division","HOUSEHOLD","Character","NA","Coming soon","1: New England||2: Middle Atlantic||3: East North Central||4: West North Central||5: South Atlantic||6: East South Central||7: West South Central||8: Mountain||9: Pacific","NA","NA","None","INTSTATUS in ('1' '2' '3')","DIVISION appears on the National PUF only. The Metro IUF, not the PUF, includes DIVISION (due to disclosure reasons).",
"OMB13CBSA","9","Admin","1","Geography","3","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","2013 OMB CBSA code","HOUSEHOLD","Character","NA","Coming soon","12060: Atlanta-Sandy Springs-Roswell, GA||12580: Baltimore-Columbia-Towson, MD||13820: Birmingham-Hoover, AL||14460: Boston-Cambridge-Newton, MA-NH||16980: Chicago-Naperville-Elgin, IL-IN-WI||17140: Cincinnati, OH-KY-IN||17460: Cleveland-Elyria, OH||19100: Dallas-Fort Worth-Arlington, TX||19740: Denver-Aurora-Lakewood, CO||19820: Detroit-Warren-Dearborn, MI||26420: Houston-The Woodlands-Sugar Land, TX||28140: Kansas City, MO-KS||29820: Las Vegas-Henderson-Paradise, NV||31080: Los Angeles-Long Beach-Anaheim, CA||32820: Memphis, TN-MS-AR||33100: Miami-Fort Lauderdale-West Palm Beach, FL||33340: Milwaukee-Waukesha-West Allis, WI||33460: Minneapolis-St. Paul-Bloomington, MN-WI||35380: New Orleans-Metairie, LA||35620: New York-Newark-Jersey City, NY-NJ-PA||36420: Oklahoma City, OK||37980: Philadelphia-Camden-Wilmington, PA-NJ-DE-MD||38060: Phoenix-Mesa-Scottsdale, AZ||38300: Pittsburgh, PA||38900: Portland-Vancouver-Hillsboro, OR-WA||39580: Raleigh, NC||40060: Richmond, VA||40140: Riverside-San Bernardino-Ontario, CA||40380: Rochester, NY||41700: San Antonio-New Braunfels, TX||41860: San Francisco-Oakland-Hayward, CA||41940: San Jose-Sunnyvale-Santa Clara, CA||42660: Seattle-Tacoma-Bellevue, WA||45300: Tampa-St. Petersburg-Clearwater, FL||47900: Washington-Arlington-Alexandria, DC-VA-MD-WV||99998: All other metropolitan areas||99999: Not in a metropolitan area","NA","NA","None","INTSTATUS in ('1' '2' '3')","These values adhere to the Office of Management and Budget (OMB) definitions for Core Based Statistical Areas (CBSAs) as they existed in February of 2013. More information on these can be found at https://www.census.gov/programs-surveys/metro-micro.html. OMB13CBSA codes are only produced for cases in the 15 largest metropolitan areas (on the National microdata) and cases on the Metropolitan microdata files.",
"REPWEIGHTXXX","1","Admin","1","Weighting","4","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Replicate weight (XXX represents 1 - 160)","HOUSEHOLD","Numeric","NA","Coming soon","0 : 99999: 0 to 99,999","NA","NA","None","INTSTATUS in ('1' '2' '3')","More information on using replicate weights can be found at https://www.census.gov/programs-surveys/ahs/tech-documentation/help-guides.html.",
