Year,metro_name,code,Efficiency,One-Bedroom,Two-Bedroom,Three-Bedroom,Four-Bedroom,FMR Percentile,statename,statecode,smallarea_status
2017,"Anniston-Oxford-Jacksonville, AL MSA",METRO11500M11500,437,474,630,818,918,40,Alabama,AL,0
2017,"Auburn-Opelika, AL MSA",METRO12220M12220,543,600,798,1075,1302,40,Alabama,AL,0
2017,"Birmingham-Hoover, AL HUD Metro FMR Area",METRO13820M13820,665,751,866,1163,1298,40,Alabama,AL,0
2017,"Chilton County, AL HUD Metro FMR Area",METRO13820N01021,484,538,621,904,1094,40,Alabama,AL,0
2017,"Columbus, GA-AL MSA",METRO17980M17980,605,648,777,1082,1369,40,Alabama,AL,0
2017,"Daphne-Fairhope-Foley, AL MSA",METRO19300M19300,807,847,977,1422,1634,40,Alabama,AL,0
2017,"Decatur, AL MSA",METRO19460M19460,427,515,640,852,894,40,Alabama,AL,0
2017,"Dothan, AL HUD Metro FMR Area",METRO20020M20020,508,511,656,883,1042,40,Alabama,AL,0
2017,"Florence-Muscle Shoals, AL MSA",METRO22520M22520,529,532,673,897,1091,40,Alabama,AL,0
2017,"Gadsden, AL MSA",METRO23460M23460,527,545,716,896,1028,40,Alabama,AL,0
2017,"Henry County, AL HUD Metro FMR Area",METRO20020N01067,513,538,621,784,1094,40,Alabama,AL,0
2017,"Huntsville, AL MSA",METRO26620M26620,541,620,746,1014,1314,40,Alabama,AL,0
2017,"Mobile, AL MSA",METRO33660M33660,727,732,892,1163,1346,40,Alabama,AL,0
2017,"Montgomery, AL MSA",METRO33860M33860,587,682,822,1054,1425,40,Alabama,AL,0
2017,"Pickens County, AL HUD Metro FMR Area",METRO46220N01107,450,467,621,853,856,40,Alabama,AL,0
2017,"Tuscaloosa, AL HUD Metro FMR Area",METRO46220M46220,566,643,782,1004,1078,40,Alabama,AL,0
2017,"Walker County, AL HUD Metro FMR Area",METRO13820N01127,500,519,641,847,979,40,Alabama,AL,0
2017,"Anchorage, AK HUD Metro FMR Area",METRO11260M11260,888,1018,1293,1882,2278,40,Alaska,AK,0
2017,"Fairbanks, AK MSA",METRO21820M21820,804,953,1267,1844,2232,40,Alaska,AK,0
2017,"Matanuska-Susitna Borough, AK HUD Metro FMR Area",METRO11260N02170,660,783,1041,1515,1834,40,Alaska,AK,0
2017,"Flagstaff, AZ MSA",METRO22380M22380,704,835,1037,1309,1551,40,Arizona,AZ,0
2017,"Lake Havasu City-Kingman, AZ MSA",METRO29420M29420,529,602,762,1092,1178,40,Arizona,AZ,0
2017,"Phoenix-Mesa-Scottsdale, AZ MSA",METRO38060M38060,624,757,944,1374,1594,40,Arizona,AZ,0
2017,"Prescott, AZ MSA",METRO39140M39140,683,688,901,1312,1370,40,Arizona,AZ,0
2017,"Sierra Vista-Douglas, AZ MSA",METRO43420M43420,594,598,747,1060,1316,40,Arizona,AZ,0
2017,"Tucson, AZ MSA",METRO46060M46060,550,652,867,1262,1493,40,Arizona,AZ,0
2017,"Yuma, AZ MSA",METRO49740M49740,639,655,870,1266,1523,40,Arizona,AZ,0
2017,"Fayetteville-Springdale-Rogers, AR HUD Metro FMR Area",METRO22220M22220,546,578,748,1079,1318,40,Arkansas,AR,0
2017,"Fort Smith, AR-OK HUD Metro FMR Area",METRO22900M22900,493,511,679,901,1100,40,Arkansas,AR,0
2017,"Grant County, AR HUD Metro FMR Area",METRO30780N05053,442,539,622,905,1096,40,Arkansas,AR,0
2017,"Hot Springs, AR MSA",METRO26300M26300,526,576,765,963,1150,40,Arkansas,AR,0
2017,"Jonesboro, AR HUD Metro FMR Area",METRO27860MM3700,466,607,735,1009,1013,40,Arkansas,AR,0
2017,"Little River County, AR HUD Metro FMR Area",METRO45500N05081,435,460,611,764,850,40,Arkansas,AR,0
2017,"Little Rock-North Little Rock-Conway, AR HUD Metro FMR Area",METRO30780M30780,581,673,814,1096,1304,40,Arkansas,AR,0
2017,"Memphis, TN-MS-AR HUD Metro FMR Area",METRO32820M32820,631,707,835,1137,1331,40,Arkansas,AR,0
2017,"Pine Bluff, AR MSA",METRO38220M38220,429,509,659,824,1002,40,Arkansas,AR,0
2017,"Poinsett County, AR HUD Metro FMR Area",METRO27860N05111,490,493,632,866,937,40,Arkansas,AR,0
2017,"Texarkana, TX-Texarkana, AR HUD Metro FMR Area",METRO45500M45500,502,573,720,920,1012,40,Arkansas,AR,0
2017,"Bakersfield, CA MSA",METRO12540M12540,623,650,844,1222,1470,40,California,CA,0
2017,"Chico, CA MSA",METRO17020M17020,656,729,923,1344,1614,40,California,CA,0
2017,"El Centro, CA MSA",METRO20940M20940,522,626,822,1123,1434,40,California,CA,0
2017,"Fresno, CA MSA",METRO23420M23420,670,709,887,1258,1470,40,California,CA,0
2017,"Hanford-Corcoran, CA MSA",METRO25260M25260,619,623,803,1133,1296,40,California,CA,0
2017,"Los Angeles-Long Beach-Glendale, CA HUD Metro FMR Area",METRO31080MM4480,988,1195,1545,2079,2303,40,California,CA,0
2017,"Madera, CA MSA",METRO31460M31460,667,672,893,1278,1469,40,California,CA,0
2017,"Merced, CA MSA",METRO32900M32900,522,602,776,1125,1355,40,California,CA,0
2017,"Modesto, CA MSA",METRO33700M33700,652,726,938,1340,1620,40,California,CA,0
2017,"Napa, CA MSA",METRO34900M34900,1014,1228,1598,2326,2593,40,California,CA,0
2017,"Oakland-Fremont, CA HUD Metro FMR Area",METRO41860MM5775,1435,1723,2173,3017,3477,40,California,CA,0
2017,"Oxnard-Thousand Oaks-Ventura, CA MSA",METRO37100M37100,1118,1326,1762,2510,2999,40,California,CA,0
2017,"Redding, CA MSA",METRO39820M39820,657,688,892,1298,1572,40,California,CA,0
2017,"Riverside-San Bernardino-Ontario, CA MSA",METRO40140M40140,800,957,1197,1682,2072,50,California,CA,0
2017,"Sacramento--Roseville--Arden-Arcade, CA HUD Metro FMR Area",METRO40900M40900,720,821,1036,1508,1825,40,California,CA,0
2017,"Salinas, CA MSA",METRO41500M41500,950,1133,1417,2063,2206,40,California,CA,0
2017,"San Benito County, CA HUD Metro FMR Area",METRO41940N06069,1019,1133,1490,2169,2625,40,California,CA,0
2017,"San Diego-Carlsbad, CA MSA",METRO41740M41740,1212,1342,1741,2507,3068,50,California,CA,0
2017,"San Francisco, CA HUD Metro FMR Area",METRO41860MM7360,1915,2411,3018,3927,4829,40,California,CA,0
